MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_OLD,VALUE_NEW
M1,BELEG,M1V364276P160,13829,VBAK,M1V364276,LIFSK,U,ZA,nan
M1,BELEG,M1V363234P36,13850,VBAK,M1V363234,LIFSK,U,ZA,nan
M1,BELEG,M1V363199P3,13864,VBAK,M1V363199,LIFSK,U,ZA,nan
M1,BELEG,M1V364066P12,13877,VBAK,M1V364066,LIFSK,U,ZA,nan
M1,BELEG,M1V364107P51,13885,VBAK,M1V364107,LIFSK,U,ZA,nan
M1,BELEG,M1V364105P28,13892,VBAK,M1V364105,LIFSK,U,ZA,nan
M1,BELEG,M1V364045P12,13903,VBAK,M1V364045,LIFSK,U,ZA,nan
M1,BELEG,M1V359123P70,13910,VBAK,M1V359123,LIFSK,U,ZA,nan
M1,BELEG,M1V359120P44,13924,VBAK,M1V359120,LIFSK,U,ZA,nan
M1,BELEG,M1V359072P160,13932,VBAK,M1V359072,LIFSK,U,ZA,nan
M1,BELEG,M1V360058P12,13952,VBAK,M1V360058,LIFSK,U,ZA,nan
M1,BELEG,M1V359966P51,13985,VBAK,M1V359966,LIFSK,U,ZA,nan
M1,BELEG,M1V360006P3,13992,VBAK,M1V360006,LIFSK,U,ZA,nan
M1,BELEG,M1V359991P51,13999,VBAK,M1V359991,LIFSK,U,ZA,nan
M1,BELEG,M1V358137P28,14007,VBAK,M1V358137,LIFSK,U,ZA,nan
M1,BELEG,M1V358126P90,14014,VBAK,M1V358126,LIFSK,U,ZA,nan
M1,BELEG,M1V358128P36,14021,VBAK,M1V358128,LIFSK,U,ZA,nan
M1,BELEG,M1V359052P3,14028,VBAK,M1V359052,LIFSK,U,ZA,nan
M1,BELEG,M1V12378P36,14048,VBAK,M1V12378,LIFSK,U,ZA,nan
M1,BELEG,M1V12378P3,14055,VBAK,M1V12378,LIFSK,U,ZA,nan
M1,BELEG,M1V359017P36,14062,VBAK,M1V359017,LIFSK,U,ZA,nan
M1,BELEG,M1V358988P70,14070,VBAK,M1V358988,LIFSK,U,ZA,nan
